城市,本月加總,本月佔比,次月加總,次月佔比,本月家電加總,次月家電加總,儲值金
台北,2727860,0.6602946256084983,1252000,0.6347065876156173,0,0,770000
台中,229800,0.05562444735610805,125400,0.06357204959025431,0,0,170000
桃園,954008,0.2309232714243078,490800,0.24881309361161735,79800,0,380000
新竹,123610,0.029920530625276397,50190,0.025444028460405613,0,0,0
高雄,95999,0.023237124985809474,54175,0.02746424072210548,0,0,0
加總,4131277,1.0,1972565,1.0,79800,0,1320000
