地區,待付款,已付款,待付款＋已付款,2026/09待付款,2026/09已付款,2026/09待付款＋已付款,2026/10待付款,2026/10已付款,2026/10待付款＋已付款,2026/11待付款,2026/11已付款,2026/11待付款＋已付款,2026/12待付款,2026/12已付款,2026/12待付款＋已付款,2027/01待付款,2027/01已付款,2027/01待付款＋已付款,儲值金待付款,儲值金已付款,儲值金待付款＋已付款
台北,25200,99800,125000,0,23400,23400,25200,76400,101600,0,0,0,0,0,0,0,0,0,0,0,0
台中,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
桃園,6400,32899,39299,0,3699,3699,6400,29200,35600,0,0,0,0,0,0,0,0,0,0,0,0
新竹,0,6000,6000,0,2400,2400,0,3600,3600,0,0,0,0,0,0,0,0,0,0,0,0
高雄,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
加總,31600,138699,170299,0,29499,29499,31600,109200,140800,0,0,0,0,0,0,0,0,0,0,0,0
