城市,本月加總,本月佔比,次月加總,次月佔比,本月家電加總,次月家電加總,儲值金
台北,2962260,0.6718367702411052,1624100,0.6473060732223893,0,0,820000
台中,256200,0.058105831539355474,147000,0.05858875239436687,0,0,170000
桃園,968427,0.21963800203030212,589899,0.23511188060329674,106800,0,380000
新竹,122410,0.027762431064529677,73590,0.02933024686191468,0,0,0
高雄,99899,0.022656965124707544,74425,0.029663046918032343,0,0,0
加總,4409196,1.0,2509014,1.0,106800,0,1370000
